time,dt,accel_x,accel_y,accel_z,union_g,gyro_x,gyro_y,gyro_z,pressure,temp,ag,ag.old,,
1966.295268,0.010113,-0.102942,0.019152,-9.829764,-9.830322,0.003195,-0.005325,0.003195,99034.22,25.76,-0.007322,-0.001055,,-9.823
1966.305389,0.01012,-0.069426,-0.004788,-9.781884,-9.782132,-0.00213,-0.00213,0.00213,99034.22,25.76,0.040868,0.047135,,
1966.3155,0.010111,-0.045486,0.019152,-9.85131,-9.851434,0.00213,-0.00426,0.003195,99034.22,25.76,-0.028434,-0.022167,,
1966.325969,0.010469,-0.05985,-0.004788,-9.79146,-9.791644,0,-0.005325,0.001065,99034.22,25.76,0.031356,0.037623,,
1966.336078,0.010108,-0.057456,0.007182,-9.832158,-9.832328,0.00213,-0.005325,0.001065,99034.22,25.76,-0.009328,-0.003061,,
1966.346464,0.010386,-0.07182,0.016758,-9.808218,-9.808495,0.001065,-0.003195,0.003195,99034.11,25.76,0.014505,0.020772,,
1966.356562,0.010099,-0.055062,0.014364,-9.801036,-9.801201,-0.00213,-0.00639,0.003195,99034.11,25.76,0.021799,0.028066,,
1966.366665,0.010102,-0.08379,0.009576,-9.798642,-9.799005,0.001065,-0.003195,0.001065,99034.11,25.76,0.023995,0.030262,,
1966.376753,0.010088,-0.057456,0.002394,-9.822582,-9.82275,0.00213,-0.00852,0.003195,99034.11,25.76,0.00025,0.006517,,
1966.390264,0.013511,-0.079002,0.038304,-9.824976,-9.825368,0.001065,-0.00213,0.001065,99034.11,25.76,-0.002368,0.003899,,
1966.400359,0.010095,-0.064638,0,-9.848916,-9.849128,0.003195,-0.00639,0.001065,99034.11,25.76,-0.026128,-0.019861,,
1966.410575,0.010216,-0.088578,0,-9.8154,-9.8158,0.00213,-0.005325,0,99034,25.76,0.0072,0.013467,,
1966.420682,0.010107,-0.074214,-0.009576,-9.817794,-9.818079,0.00213,-0.007455,0.00426,99034,25.76,0.004921,0.011188,,
1966.430768,0.010086,-0.098154,-0.002394,-9.82737,-9.82786,0.001065,-0.00213,0.001065,99034,25.76,-0.00486,0.001407,,
1966.440866,0.010098,-0.114912,0.040698,-9.813006,-9.813763,0,-0.00639,0.001065,99034,25.76,0.009237,0.015504,,
1966.450992,0.010125,-0.076608,0.033516,-9.801036,-9.801393,0.00426,-0.005325,0.00213,99034,25.76,0.021607,0.027874,,
1966.461077,0.010085,-0.10773,0.01197,-9.848916,-9.849512,0.001065,-0.005325,0.001065,99034,25.76,-0.026512,-0.020245,,
1966.471615,0.010537,-0.10773,0.028728,-9.832158,-9.83279,0.001065,-0.00639,0,99034,25.76,-0.00979,-0.003523,,
1966.48208,0.010466,-0.052668,-0.002394,-9.80343,-9.803572,0,-0.00426,0.003195,99034,25.76,0.019428,0.025695,,
1966.493215,0.011135,-0.093366,0.004788,-9.805824,-9.80627,0.00213,-0.00639,0.003195,99034,25.76,0.01673,0.022997,,
1966.504376,0.01116,-0.067032,0,-9.846522,-9.84675,0.00213,-0.005325,0.00213,99034,25.76,-0.02375,-0.017483,,
1966.515776,0.0114,-0.07182,0.016758,-9.813006,-9.813283,0.001065,-0.005325,0.00213,99034,25.76,0.009717,0.015984,,
1966.526802,0.011026,-0.055062,-0.026334,-9.786672,-9.786862,0.001065,-0.005325,0.003195,99034,25.76,0.036138,0.042405,,
1966.538001,0.011199,-0.07182,-0.009576,-9.822582,-9.822849,0.001065,-0.007455,0.003195,99033.94,25.76,0.000151,0.006418,,
1966.549119,0.011118,-0.074214,0.01197,-9.777096,-9.777385,0,-0.00639,0,99033.94,25.76,0.045615,0.051882,,
1966.560437,0.011317,-0.09576,0.007182,-9.836946,-9.837415,0.001065,-0.00639,0.00213,99033.94,25.76,-0.014415,-0.008148,,
1966.571533,0.011096,-0.040698,-0.004788,-9.801036,-9.801122,0.001065,-0.00426,0.003195,99033.94,25.76,0.021878,0.028145,,
1966.582731,0.011198,-0.105336,-0.007182,-9.8154,-9.815968,0,-0.00639,0,99033.94,25.76,0.007032,0.013299,,
1966.593919,0.011188,-0.074214,-0.004788,-9.82737,-9.827651,0.001065,-0.003195,0,99033.94,25.76,-0.004651,0.001616,,
1966.605046,0.011127,-0.069426,0.026334,-9.808218,-9.808499,0.001065,-0.00639,0.001065,99033.79,25.76,0.014501,0.020768,,
1966.616249,0.011203,-0.05985,0,-9.824976,-9.825158,0.00213,-0.005325,0.003195,99033.79,25.76,-0.002158,0.004109,,
1966.627509,0.01126,-0.067032,0.019152,-9.817794,-9.818042,0.00213,-0.00639,0.003195,99033.79,25.76,0.004958,0.011225,,
1966.638724,0.011215,-0.069426,0.028728,-9.824976,-9.825263,0.003195,-0.005325,0.003195,99033.79,25.76,-0.002263,0.004004,,
1966.649832,0.011108,-0.102942,0.002394,-9.82737,-9.827909,0.003195,-0.005325,0.003195,99033.79,25.76,-0.004909,0.001358,,
1966.661064,0.011232,-0.090972,0.021546,-9.820188,-9.820633,0.003195,-0.00852,0.00213,99033.79,25.76,0.002367,0.008634,,
1966.67238,0.011316,-0.093366,0.014364,-9.829764,-9.830218,0.00213,-0.005325,0.001065,99033.94,25.76,-0.007218,-0.000951,,
1966.683453,0.011072,-0.102942,0.02394,-9.817794,-9.818363,0.00213,-0.003195,0.001065,99033.94,25.76,0.004637,0.010904,,
1966.694621,0.011168,-0.062244,0.009576,-9.836946,-9.837148,0,-0.005325,0.001065,99033.94,25.76,-0.014148,-0.007881,,
1966.705741,0.01112,-0.088578,0.016758,-9.870462,-9.870874,0.001065,-0.005325,0.003195,99033.94,25.76,-0.047874,-0.041607,,
1966.716909,0.011168,-0.093366,0.021546,-9.813006,-9.813474,0.001065,-0.003195,0.001065,99033.94,25.76,0.009526,0.015793,,
