Time (s),dt, X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg),1,2,3,4
1.1042744,0.0208347,-0.072981,9.846465,-0.11007,9.847351,90.640442,90.42466,1,2,3,4
1.1251104,0.020836,-0.086142,9.835099,-0.115454,9.836154,90.672539,90.501816,1,2,3,4
1.1459453,0.0208349,-0.067597,9.828519,-0.123829,9.829532,90.721809,90.394058,1,2,3,4
1.1667805,0.0208352,-0.064008,9.833304,-0.078365,9.833825,90.456589,90.372948,1,2,3,4
1.1876146,0.0208341,-0.064606,9.847662,-0.013161,9.847883,90.076569,90.375885,1,2,3,4
1.208447,0.0208324,-0.068794,9.834501,-0.052044,9.83488,90.3032,90.400787,1,2,3,4
1.2292808,0.0208338,-0.059821,9.832706,-0.110668,9.833511,90.644829,90.348572,1,2,3,4
1.2501161,0.0208353,-0.087338,9.833903,-0.136391,9.835238,90.794579,90.50885,1,2,3,4
1.2709516,0.0208355,-0.066401,9.836894,-0.091525,9.837543,90.533073,90.386749,1,2,3,4
1.2917875,0.0208359,-0.067597,9.859028,-0.061615,9.859452,90.358063,90.392838,1,2,3,4
1.3126236,0.0208361,-0.065803,9.855438,-0.090329,9.856071,90.525116,90.382545,1,2,3,4
1.3334588,0.0208352,-0.069392,9.842875,-0.159721,9.844416,90.929634,90.403923,1,2,3,4
1.3542939,0.0208351,-0.061615,9.833304,0.105284,9.834062,89.386574,90.359009,1,2,3,4
1.3751284,0.0208345,-0.092124,9.843474,-0.345165,9.849955,92.008186,90.536209,1,2,3,4
1.395965,0.0208366,-0.064606,9.854242,-0.150748,9.855607,90.876411,90.375633,1,2,3,4
1.4168001,0.0208351,-0.089731,9.826126,-0.093918,9.826984,90.547592,90.523201,1,2,3,4
1.4376359,0.0208358,-0.07657,9.830912,0.065204,9.831426,89.619995,90.446251,1,2,3,4
1.4584694,0.0208335,-0.06341,9.848858,0.153739,9.850262,89.105713,90.368881,1,2,3,4
1.4793044,0.020835,-0.08016,9.835697,-0.284148,9.840127,91.654724,90.466942,1,2,3,4
1.5001366,0.0208322,-0.051446,9.832108,-0.265005,9.835814,91.5439,90.299789,1,2,3,4
1.5209725,0.0208359,-0.084945,9.835697,0.016152,9.836077,89.905914,90.49482,1,2,3,4
1.5418075,0.020835,-0.074178,9.832108,0.004187,9.832389,89.975601,90.432259,1,2,3,4
1.5626414,0.0208339,-0.044267,9.852448,-0.154337,9.853756,90.897446,90.257431,1,2,3,4
1.5834761,0.0208347,-0.071186,9.850653,-0.150748,9.852063,90.876724,90.414047,1,2,3,4
1.6043111,0.020835,-0.085543,9.838689,-0.142971,9.840099,90.832504,90.498154,1,2,3,4
1.6251459,0.0208348,-0.084945,9.834501,-0.118445,9.835582,90.690002,90.494881,1,2,3,4
1.6459816,0.0208357,-0.065204,9.842875,-0.051446,9.843225,90.299461,90.379555,1,2,3,4
1.6668144,0.0208328,-0.062213,9.839885,-0.083151,9.840432,90.484146,90.362251,1,2,3,4
1.6876479,0.0208335,-0.077169,9.835697,-0.108873,9.836602,90.634171,90.449516,1,2,3,4
1.7084824,0.0208345,-0.078963,9.84467,-0.058624,9.845161,90.341179,90.459557,1,2,3,4
1.7293149,0.0208325,-0.054437,9.84467,-0.050249,9.844949,90.292442,90.316818,1,2,3,4
1.7501487,0.0208338,-0.05683,9.857233,-0.11665,9.858088,90.677994,90.330322,1,2,3,4
1.7709838,0.0208351,-0.055035,9.84826,-0.139382,9.8494,90.810837,90.320183,1,2,3,4
1.7918165,0.0208327,-0.071186,9.811171,-0.066401,9.811654,90.387756,90.41571,1,2,3,4
1.812651,0.0208345,-0.083151,9.830912,-0.071785,9.831525,90.41835,90.484604,1,2,3,4
1.8334855,0.0208345,-0.043669,9.857831,-0.126221,9.858736,90.733582,90.253815,1,2,3,4
1.8543199,0.0208344,-0.145364,9.817153,-0.176471,9.819816,91.029709,90.848328,1,2,3,4
1.875154,0.0208341,-0.077767,9.851251,-0.047258,9.851671,90.274849,90.452286,1,2,3,4
1.8959901,0.0208361,-0.058624,9.885348,-0.083749,9.885877,90.48539,90.339783,1,2,3,4
1.9168261,0.020836,-0.07657,9.843474,-0.072383,9.844038,90.421295,90.445686,1,2,3,4
1.937664,0.0208379,-0.096909,9.84168,-0.043071,9.842251,90.250732,90.564163,1,2,3,4
1.9585052,0.0208412,-0.071785,9.801002,-0.127418,9.802093,90.744812,90.41964,1,2,3,4
1.9793473,0.0208421,-0.032901,9.876974,-0.049053,9.877151,90.284546,90.190857,1,2,3,4
2.0001853,0.020838,-0.077169,9.821939,-0.064008,9.822451,90.373367,90.45015,1,2,3,4
2.0210218,0.0208365,-0.087338,9.824331,-0.122034,9.825478,90.711639,90.509346,1,2,3,4
2.0418558,0.020834,-0.077767,9.851849,-0.056231,9.852316,90.327011,90.452263,1,2,3,4
2.0626895,0.0208337,-0.08016,9.836894,-0.073579,9.837496,90.428543,90.466888,1,2,3,4
2.0835254,0.0208359,-0.074178,9.875179,-0.108873,9.876058,90.631638,90.430367,1,2,3,4
2.1043618,0.0208364,-0.062812,9.841082,-0.09332,9.841724,90.543289,90.365692,1,2,3,4
2.1251967,0.0208349,-0.07657,9.80818,-0.12323,9.809253,90.71981,90.447289,1,2,3,4
2.1460302,0.0208335,-0.049053,9.84826,-0.005384,9.848383,90.031319,90.285378,1,2,3,4
2.1668644,0.0208342,-0.056231,9.852448,-0.074178,9.852887,90.431358,90.327003,1,2,3,4
2.1876974,0.020833,-0.087338,9.823733,-0.14656,9.825214,90.854698,90.509377,1,2,3,4
2.2085311,0.0208337,-0.098704,9.804591,-0.102891,9.805628,90.601219,90.576782,1,2,3,4
2.2293651,0.020834,-0.075374,9.88475,-0.050249,9.885165,90.291252,90.43689,1,2,3,4
2.2501998,0.0208347,-0.06341,9.866206,-0.061615,9.866603,90.357803,90.368233,1,2,3,4
2.2710347,0.0208349,-0.066401,9.827921,-0.128614,9.828986,90.749748,90.387108,1,2,3,4
2.2918673,0.0208326,-0.05683,9.813564,-0.15015,9.814878,90.876556,90.331795,1,2,3,4
2.3127012,0.0208339,-0.102891,9.845269,-0.031705,9.845859,90.184502,90.59877,1,2,3,4
2.3335347,0.0208335,-0.042473,9.867402,-0.020339,9.867515,90.118095,90.24662,1,2,3,4
2.3543682,0.0208335,-0.08674,9.814162,-0.106481,9.815123,90.62159,90.506378,1,2,3,4
2.3752019,0.0208337,-0.096909,9.798011,-0.110668,9.799115,90.647095,90.566681,1,2,3,4
2.3960345,0.0208326,-0.057428,9.891929,-0.049651,9.89222,90.287582,90.332626,1,2,3,4
2.4168668,0.0208323,-0.088534,9.847662,-0.139382,9.849046,90.810867,90.515099,1,2,3,4
2.4376981,0.0208313,-0.073579,9.832108,-0.055035,9.832538,90.320702,90.428772,1,2,3,4
2.4585302,0.0208321,-0.031107,9.84467,-0.095713,9.845185,90.55703,90.181038,1,2,3,4
2.4793632,0.020833,-0.04008,9.855438,-0.183051,9.85722,91.064056,90.233009,1,2,3,4
2.5001979,0.0208347,-0.064008,9.832108,0.032901,9.832372,89.808273,90.372993,1,2,3,4
2.5210319,0.020834,-0.098704,9.828519,-0.135793,9.829952,90.791519,90.575378,1,2,3,4
2.541868,0.0208361,-0.093918,9.83151,-0.176471,9.833542,91.028275,90.547318,1,2,3,4
2.5627038,0.0208358,-0.072383,9.832706,-0.041874,9.833062,90.243996,90.421768,1,2,3,4
2.5835378,0.020834,-0.06341,9.829716,-0.072383,9.830187,90.42189,90.369598,1,2,3,4
2.6043718,0.020834,-0.039482,9.857233,-0.073579,9.857587,90.427673,90.229485,1,2,3,4
2.625206,0.0208342,-0.090927,9.839885,-0.041874,9.840394,90.243813,90.529434,1,2,3,4
2.646039,0.020833,-0.046062,9.839287,-0.120239,9.840129,90.700134,90.268227,1,2,3,4
2.6668711,0.0208321,-0.058026,9.857233,-0.086142,9.85778,90.500679,90.337273,1,2,3,4
2.6877048,0.0208337,-0.08674,9.834501,-0.047258,9.834997,90.275314,90.505333,1,2,3,4
2.7085388,0.020834,-0.092124,9.844072,-0.064008,9.844711,90.372528,90.536179,1,2,3,4
2.7293718,0.020833,-0.084945,9.835697,-0.087338,9.836452,90.508736,90.49482,1,2,3,4
2.7502065,0.0208347,-0.092124,9.853045,-0.153739,9.854675,90.893883,90.53569,1,2,3,4
2.7710407,0.0208342,-0.072981,9.834501,-0.172881,9.836291,91.007072,90.425179,1,2,3,4
2.7918735,0.0208328,-0.08674,9.816555,-0.030508,9.816986,90.178062,90.506256,1,2,3,4
2.8127103,0.0208368,-0.047258,9.881161,0.000598,9.881274,89.996529,90.274025,1,2,3,4
2.833545,0.0208347,-0.067597,9.841082,-0.102891,9.841852,90.599007,90.393555,1,2,3,4
2.8543811,0.0208361,-0.048455,9.854242,-0.058624,9.854536,90.340851,90.281731,1,2,3,4
2.8752184,0.0208373,-0.062213,9.837492,-0.083151,9.838039,90.484268,90.362343,1,2,3,4
2.8960528,0.0208344,-0.02991,9.84168,-0.073579,9.842,90.428352,90.174133,1,2,3,4
2.9168875,0.0208347,-0.088534,9.845867,-0.128016,9.847097,90.744888,90.51519,1,2,3,4
2.9377232,0.0208357,-0.07657,9.81835,-0.145364,9.819724,90.848198,90.446823,1,2,3,4
2.9585576,0.0208344,-0.106481,9.841082,-0.0335,9.841715,90.195023,90.619919,1,2,3,4
2.9793906,0.020833,-0.082552,9.83809,-0.044267,9.838536,90.257797,90.480766,1,2,3,4
3.0002234,0.0208328,-0.066401,9.875777,-0.147159,9.877096,90.853683,90.385231,1,2,3,4
3.0210569,0.0208335,-0.101097,9.824331,-0.171087,9.826342,90.997627,90.589577,1,2,3,4
3.0418894,0.0208325,-0.049053,9.835697,-0.061017,9.836008,90.355431,90.285744,1,2,3,4
3.062721,0.0208316,-0.058624,9.854242,-0.002991,9.854417,90.017387,90.340858,1,2,3,4
3.0835555,0.0208345,-0.046062,9.860224,0.007777,9.860334,89.954811,90.267654,1,2,3,4
3.1043906,0.0208351,-0.064008,9.830912,-0.101695,9.831646,90.592659,90.373039,1,2,3,4
3.1252248,0.0208342,-0.04666,9.832108,-0.189033,9.834036,91.101425,90.271904,1,2,3,4
3.1460607,0.0208359,-0.051446,9.850055,-0.068794,9.850429,90.400146,90.299248,1,2,3,4
3.1668959,0.0208352,-0.052642,9.82493,-0.082552,9.825418,90.4814,90.306992,1,2,3,4
3.1877291,0.0208332,-0.059821,9.839287,-0.08674,9.83985,90.505081,90.348343,1,2,3,4
3.2085621,0.020833,-0.047856,9.867402,0.022134,9.867543,89.871483,90.277878,1,2,3,4
3.2293937,0.0208316,-0.059222,9.844072,-0.061615,9.844443,90.358612,90.344688,1,2,3,4
3.2502253,0.0208316,-0.005982,9.832706,-0.117248,9.833407,90.683182,90.034859,1,2,3,4
3.2710588,0.0208335,0.019143,9.856635,-0.099302,9.857154,90.577217,89.888725,1,2,3,4
3.2918937,0.0208349,0.034696,9.822537,-0.153739,9.823802,90.896698,89.797615,1,2,3,4
3.3127284,0.0208347,-0.154337,9.80818,-0.05683,9.809559,90.331932,90.901505,1,2,3,4
3.3335602,0.0208318,-0.206381,9.844072,0.012562,9.846244,89.926903,91.201027,1,2,3,4
3.3543937,0.0208335,-0.142971,9.843474,-0.118445,9.845225,90.689323,90.83213,1,2,3,4
3.3752275,0.0208338,-0.180658,9.827921,-0.192622,9.831469,91.122635,91.053101,1,2,3,4
3.3960626,0.0208351,-0.165105,9.894321,-0.096311,9.896168,90.557617,90.955994,1,2,3,4
3.416898,0.0208354,-0.078963,9.858429,-0.15015,9.859888,90.872551,90.458916,1,2,3,4
3.4377327,0.0208347,-0.002393,9.862617,-0.09332,9.863058,90.542114,90.013901,1,2,3,4
3.4585671,0.0208344,0.010768,9.848858,-0.082552,9.84921,90.48024,89.937363,1,2,3,4
3.4793999,0.0208328,0.02333,9.851849,-0.021535,9.8519,90.125244,89.864319,1,2,3,4
3.5002327,0.0208328,-0.061017,9.816555,0.075374,9.817034,89.560089,90.356133,1,2,3,4
3.521066,0.0208333,-0.113061,9.765109,-0.165105,9.767159,90.968575,90.663345,1,2,3,4
3.5418975,0.0208315,-0.181855,9.728021,-0.236291,9.732589,91.391182,91.070953,1,2,3,4
3.5627315,0.020834,-0.165105,9.851849,-0.013161,9.853241,90.07653,90.960114,1,2,3,4
3.5835657,0.0208342,-0.13998,9.863214,-0.165703,9.8656,90.962387,90.813095,1,2,3,4
3.6044006,0.0208349,-0.148953,9.909277,-0.01675,9.910411,90.09684,90.861191,1,2,3,4
3.6252339,0.0208333,-0.096311,9.878768,-0.114855,9.879905,90.666084,90.558578,1,2,3,4
3.6460674,0.0208335,-0.01675,9.905089,-0.27996,9.90906,91.618988,90.096886,1,2,3,4
3.6668985,0.0208311,0.022732,9.877572,0.108275,9.878192,89.371964,89.868141,1,2,3,4
3.6877303,0.0208318,0.011964,9.836296,0.064008,9.836512,89.627167,89.930313,1,2,3,4
3.7085626,0.0208323,0.001795,9.803992,-0.18006,9.805646,91.052177,89.98951,1,2,3,4
3.7293954,0.0208328,-0.036491,9.805787,-0.067597,9.806088,90.394966,90.213219,1,2,3,4
3.7502286,0.0208332,-0.077767,9.80818,-0.043669,9.808585,90.255089,90.454277,1,2,3,4
3.7710621,0.0208335,-0.097508,9.819546,-0.021535,9.820053,90.125648,90.568924,1,2,3,4
3.791899,0.0208369,-0.107079,9.837492,-0.044865,9.838177,90.261292,90.623627,1,2,3,4
3.8127365,0.0208375,-0.111266,9.83809,-0.287139,9.842909,91.671677,90.647972,1,2,3,4
3.8335683,0.0208318,-0.081356,9.845269,-0.175872,9.847177,91.023369,90.47345,1,2,3,4
3.8543992,0.0208309,-0.078365,9.859626,-0.000598,9.859937,90.003479,90.455383,1,2,3,4
3.875232,0.0208328,-0.061017,9.872188,-0.129212,9.873221,90.749863,90.354126,1,2,3,4
3.8960662,0.0208342,-0.043071,9.857831,-0.236889,9.860771,91.376572,90.250336,1,2,3,4
3.9168994,0.0208332,-0.019143,9.862019,-0.098704,9.862531,90.573425,90.111214,1,2,3,4
3.9377315,0.0208321,-0.023928,9.843474,0.016152,9.843516,89.905991,90.139282,1,2,3,4
3.958565,0.0208335,-0.072981,9.81476,0.019741,9.815051,89.884766,90.426033,1,2,3,4
3.9794002,0.0208352,-0.108873,9.820743,-0.068794,9.821587,90.401321,90.635162,1,2,3,4
4.0002341,0.0208339,-0.111266,9.836296,-0.166899,9.838342,90.972023,90.648094,1,2,3,4
4.0210686,0.0208345,-0.128016,9.824331,-0.090927,9.825586,90.530228,90.746552,1,2,3,4
4.0419044,0.0208358,-0.106481,9.842875,0.017946,9.843468,89.895538,90.619804,1,2,3,4
4.0627398,0.0208354,-0.066401,9.87458,-0.071186,9.87506,90.413033,90.385277,1,2,3,4
4.0835733,0.0208335,-0.048455,9.84826,-0.187837,9.85017,91.092659,90.281898,1,2,3,4
4.1044073,0.020834,-0.034098,9.810573,-0.064008,9.810841,90.37381,90.199135,1,2,3,4
4.1252403,0.020833,-0.022134,9.80818,-0.024526,9.808235,90.143272,90.129295,1,2,3,4
4.1460738,0.0208335,-0.010169,9.845269,-0.106481,9.845851,90.619652,90.059181,1,2,3,4
4.1669068,0.020833,-0.04008,9.843474,-0.221934,9.846058,91.29158,90.233292,1,2,3,4
4.1877389,0.0208321,-0.08016,9.833903,-0.223131,9.836761,91.299774,90.467026,1,2,3,4
4.2085743,0.0208354,-0.106481,9.866804,-0.100499,9.86789,90.583534,90.618301,1,2,3,4
4.2294078,0.0208335,-0.125025,9.896116,0.025723,9.89694,89.851082,90.723824,1,2,3,4
4.2502413,0.0208335,-0.084347,9.902697,-0.032303,9.903109,90.186897,90.488007,1,2,3,4
4.2710752,0.0208339,-0.037687,9.884152,-0.136391,9.885165,90.790565,90.21846,1,2,3,4
4.2919111,0.0208359,-0.034098,9.823733,-0.119641,9.824521,90.697754,90.198868,1,2,3,4
4.3127456,0.0208345,-0.050249,9.765109,-0.014357,9.765249,90.084236,90.29483,1,2,3,4
4.3335781,0.0208325,-0.073579,9.731609,-0.039482,9.731968,90.232445,90.433197,1,2,3,4
4.354413,0.0208349,-0.068195,9.809377,-0.12682,9.810433,90.740685,90.398315,1,2,3,4
4.3752484,0.0208354,-0.120239,9.850653,-0.217747,9.853793,91.266212,90.699333,1,2,3,4
4.3960915,0.0208431,-0.095115,9.880563,-0.159721,9.882312,90.926071,90.551537,1,2,3,4
4.4169321,0.0208406,-0.097508,9.864411,-0.034098,9.864952,90.198044,90.566338,1,2,3,4
4.4377728,0.0208407,-0.058624,9.893126,0.00658,9.893301,89.961891,90.339516,1,2,3,4
4.458612,0.0208392,-0.075972,9.87159,-0.142373,9.872909,90.826263,90.440941,1,2,3,4
4.4794512,0.0208392,-0.056231,9.842875,-0.164507,9.84441,90.957497,90.327324,1,2,3,4
4.5002847,0.0208335,-0.04666,9.810573,-0.132203,9.811574,90.772041,90.272499,1,2,3,4
4.5211186,0.0208339,-0.058026,9.823135,0.017348,9.823321,89.898819,90.338448,1,2,3,4
4.5419526,0.020834,-0.065204,9.828519,-0.055035,9.828889,90.320816,90.380104,1,2,3,4
4.5627875,0.0208349,-0.085543,9.81835,-0.235693,9.82155,91.375092,90.499184,1,2,3,4
4.583621,0.0208335,-0.088534,9.83809,-0.184846,9.840224,91.076347,90.515602,1,2,3,4
4.6044536,0.0208326,-0.110668,9.853045,-0.05683,9.85383,90.330444,90.643509,1,2,3,4
4.6252866,0.020833,-0.089133,9.863813,-0.019143,9.864235,90.111191,90.517731,1,2,3,4
4.6461182,0.0208316,-0.066401,9.849456,-0.098704,9.850174,90.574142,90.386261,1,2,3,4
4.6669526,0.0208344,-0.046062,9.855438,-0.107677,9.856134,90.625961,90.267784,1,2,3,4
4.6877885,0.0208359,-0.054437,9.836296,-0.048455,9.836566,90.282242,90.317085,1,2,3,4
4.7086215,0.020833,-0.049651,9.835697,-0.070588,9.836076,90.411186,90.28923,1,2,3,4
4.7294545,0.020833,-0.058624,9.83151,-0.138186,9.832656,90.805244,90.341644,1,2,3,4
4.7502885,0.020834,-0.07657,9.832706,-0.183051,9.834708,91.06649,90.446175,1,2,3,4
4.7711229,0.0208344,-0.073579,9.842278,-0.073579,9.842828,90.428314,90.428329,1,2,3,4
4.7919569,0.020834,-0.079561,9.848858,-0.013759,9.849189,90.08004,90.462837,1,2,3,4
4.812789,0.0208321,-0.09332,9.835099,-0.12323,9.836313,90.717827,90.543633,1,2,3,4
4.8336215,0.0208325,-0.097508,9.852448,-0.160319,9.854235,90.93219,90.567024,1,2,3,4
4.854454,0.0208325,-0.081954,9.842875,-0.149551,9.844353,90.870445,90.477051,1,2,3,4
4.875288,0.020834,-0.068195,9.826126,-0.120239,9.827099,90.701057,90.397636,1,2,3,4
4.8961215,0.0208335,-0.045464,9.84826,-0.007178,9.848368,90.041763,90.264496,1,2,3,4
4.9169555,0.020834,-0.061017,9.850055,-0.057428,9.85041,90.334038,90.354919,1,2,3,4
4.937789,0.0208335,-0.047258,9.852448,-0.092722,9.852998,90.539192,90.274826,1,2,3,4
4.958622,0.020833,-0.081954,9.830314,-0.144766,9.831721,90.843674,90.477654,1,2,3,4
4.979454,0.020832,-0.085543,9.849456,-0.098704,9.850322,90.574135,90.497604,1,2,3,4
5.0002871,0.0208331,-0.080758,9.841082,-0.064008,9.841621,90.372643,90.470169,1,2,3,4
5.0211215,0.0208344,-0.066999,9.846465,-0.072383,9.846959,90.421173,90.389854,1,2,3,4
5.0419574,0.0208359,-0.084347,9.835099,-0.109472,9.83607,90.637695,90.491364,1,2,3,4
5.0627913,0.0208339,-0.071186,9.832108,-0.136391,9.833312,90.794731,90.414825,1,2,3,4
5.0836248,0.0208335,-0.069392,9.838689,-0.119043,9.839653,90.693199,90.404099,1,2,3,4
5.1044583,0.0208335,-0.06999,9.835099,-0.072383,9.835615,90.421661,90.40773,1,2,3,4
5.1252899,0.0208316,-0.055035,9.839287,-0.097508,9.839924,90.567772,90.320473,1,2,3,4
5.1461244,0.0208345,-0.058026,9.847063,-0.101097,9.847754,90.588203,90.337624,1,2,3,4
5.1669545,0.0208301,-0.066999,9.837492,-0.059222,9.837898,90.34491,90.390213,1,2,3,4
5.187789,0.0208345,-0.067597,9.842875,-0.104088,9.843657,90.605865,90.393478,1,2,3,4
5.2086225,0.0208335,-0.081356,9.839287,-0.074178,9.839903,90.431923,90.47374,1,2,3,4
5.2294574,0.0208349,-0.088534,9.833304,-0.078365,9.834015,90.456581,90.515854,1,2,3,4
5.2502894,0.020832,-0.070588,9.852448,-0.131007,9.853572,90.761795,90.410492,1,2,3,4
5.2711205,0.0208311,-0.082552,9.814162,-0.102891,9.815049,90.600647,90.481934,1,2,3,4
5.2919521,0.0208316,-0.052642,9.862617,-0.092722,9.863193,90.538635,90.305817,1,2,3,4
5.3127842,0.0208321,-0.055035,9.815358,-0.112463,9.816156,90.656448,90.321259,1,2,3,4
5.3336172,0.020833,-0.056231,9.860224,-0.09332,9.860826,90.542236,90.326744,1,2,3,4
