Time (s),dt, X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg),1,2,3,4
1.1665103,0.02,-2.07039,4.975875,7.962716,9.615128,34.091393,112.591492,1,2,3,4
1.1873418,0.02,-2.550151,5.370092,7.809575,9.814816,37.279293,115.402115,1,2,3,4
1.2081753,0.02,-2.704488,5.164907,8.391629,10.21812,34.789894,117.637794,1,2,3,4
1.2290103,0.02,-2.282155,5.422734,8.943174,10.704889,33.33947,112.823761,1,2,3,4
1.2498422,0.02,-2.107479,5.185246,8.243873,9.96442,34.174477,112.118668,1,2,3,4
1.2706732,0.02,-1.925026,4.692325,7.74437,9.257371,33.221096,112.305885,1,2,3,4
1.2915026,0.02,-1.544567,4.459025,7.651649,8.989789,31.663155,109.105637,1,2,3,4
1.3123329,0.02,-2.149353,4.98066,7.697711,9.417083,35.172657,113.342117,1,2,3,4
1.3331633,0.02,-2.915654,5.233103,7.967501,9.968324,36.938412,119.124626,1,2,3,4
1.3539929,0.02,-2.61715,5.342575,8.740383,10.572931,34.241272,116.098701,1,2,3,4
1.3748209,0.02,-2.087738,5.301299,8.797213,10.481096,32.929417,111.495331,1,2,3,4
1.3956518,0.02,-1.774876,4.786243,8.188837,9.649631,31.938473,110.346222,1,2,3,4
1.4164814,0.02,-2.326422,4.703691,7.686345,9.306817,34.321857,116.316765,1,2,3,4
1.4373121,0.02,-2.857628,5.02074,8.410771,10.203673,34.483574,119.647003,1,2,3,4
1.4581425,0.02,-2.331806,5.315656,8.018947,9.899344,35.899357,113.685501,1,2,3,4
1.4789703,0.02,-2.514258,5.373682,7.722237,9.738115,37.534096,115.074135,1,2,3,4
1.4997996,0.02,-2.740978,5.202595,7.456035,9.495915,38.26236,117.782425,1,2,3,4
1.5206289,0.02,-2.902494,4.71087,6.982256,8.90891,38.395836,121.638344,1,2,3,4
1.5414599,0.02,-2.933002,4.828716,7.902895,9.714667,35.560551,121.274841,1,2,3,4
1.5622904,0.02,-3.126821,4.907679,9.233903,10.914545,32.218815,122.502365,1,2,3,4
1.5830936,0.02,-3.739384,4.792824,9.325428,11.131835,33.099232,127.961525,1,2,3,4
1.6040125,0.02,-3.995416,5.189434,9.347562,11.41361,35.016796,127.593163,1,2,3,4
1.6247674,0.02,-4.192225,5.603991,8.501698,11.011737,39.460953,126.799377,1,2,3,4
1.6454995,0.02,-4.082155,5.68415,7.436295,10.211368,43.261208,125.68457,1,2,3,4
1.6662323,0.02,-3.635894,5.924629,6.222535,9.329571,48.166435,121.537086,1,2,3,4
1.6869653,0.02,-3.299702,6.023931,5.902495,9.056226,49.325489,118.712418,1,2,3,4
1.707698,0.02,-3.695714,6.342176,5.535795,9.193831,52.978077,120.230217,1,2,3,4
