Time (s),dt, X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg),1,2,3,4
12.3782959,0.00245,0.198006,0.026919,9.951151,9.953157,1.150461,7.741991,1,2,3,4
12.3807468,0.0024509,0.241077,0.005384,10.013365,10.016268,1.379417,1.279346,1,2,3,4
12.3831968,0.00245,0.276969,0.050847,10.032507,10.036459,1.607908,10.402825,1,2,3,4
12.3856468,0.00245,0.248255,0.046062,10.046865,10.050036,1.439535,10.511251,1,2,3,4
12.3880968,0.00245,0.269791,0.031705,9.943973,9.947682,1.564856,6.702466,1,2,3,4
12.3905468,0.00245,0.276969,0.022134,9.884152,9.888057,1.610219,4.569003,1,2,3,4
12.3929977,0.0024509,0.198006,-0.025723,9.867402,9.869422,1.159272,352.598206,1,2,3,4
12.3954477,0.00245,0.200399,0.024526,9.932009,9.934061,1.164661,6.977619,1,2,3,4
12.3978987,0.002451,0.19322,-0.037687,10.010972,10.012907,1.126396,348.963226,1,2,3,4
12.4003487,0.00245,0.190828,0.026919,10.0014,10.003257,1.103935,8.029495,1,2,3,4
12.4027987,0.00245,0.281755,0.031705,9.977472,9.981501,1.627866,6.420288,1,2,3,4
12.4052486,0.0024499,0.241077,-0.030508,9.90808,9.911059,1.40486,352.787506,1,2,3,4
12.4076986,0.00245,0.288933,0.062812,9.898509,9.902925,1.711093,12.264773,1,2,3,4
12.4101486,0.00245,0.308076,-0.032901,9.910473,9.915315,1.790675,353.904144,1,2,3,4
12.4125986,0.00245,0.315254,-0.052044,9.891331,9.89649,1.850232,350.625854,1,2,3,4
12.4150496,0.002451,0.334397,-0.042473,9.905687,9.911421,1.948931,352.761475,1,2,3,4
12.4174995,0.0024499,0.291326,-0.061615,9.958329,9.96278,1.712694,348.057983,1,2,3,4
12.4199514,0.0024519,0.22672,-0.059222,9.963116,9.965871,1.347265,345.360657,1,2,3,4
12.4224005,0.0024491,0.291326,-0.013759,9.960723,9.964992,1.677131,357.296051,1,2,3,4
12.4248514,0.0024509,0.293719,-0.090329,9.960723,9.965462,1.767022,342.905457,1,2,3,4
12.4273014,0.00245,0.255434,-0.04008,9.939187,9.94255,1.490166,351.08252,1,2,3,4
12.4297533,0.0024519,0.346361,-0.02333,9.936794,9.942857,2.000956,356.146515,1,2,3,4
12.4322023,0.002449,0.324826,-0.087936,9.912866,9.918576,1.944306,344.852081,1,2,3,4
12.4346533,0.002451,0.35354,-0.008973,9.920045,9.926347,2.041718,358.546112,1,2,3,4
12.4371033,0.00245,0.39661,-0.066401,9.903295,9.911456,2.325321,350.495636,1,2,3,4
12.4395533,0.00245,0.312862,-0.059222,9.884152,9.88928,1.845254,349.281158,1,2,3,4
12.4420042,0.0024509,0.375075,-0.001795,9.891331,9.898439,2.171597,359.725861,1,2,3,4
12.4444542,0.00245,0.30329,-0.066401,9.912866,9.917727,1.793951,347.650818,1,2,3,4
12.4469051,0.0024509,0.255434,-0.052044,9.94158,9.944997,1.502069,348.483795,1,2,3,4
12.4493551,0.00245,0.260219,-0.085543,9.927223,9.931002,1.580534,341.80246,1,2,3,4
12.4518061,0.002451,0.267398,-0.090329,9.932009,9.936018,1.627746,341.334656,1,2,3,4
12.4542561,0.00245,0.33679,-0.066401,9.946365,9.952287,1.976551,348.84671,1,2,3,4
12.456708,0.0024519,0.382253,-0.049651,9.979865,9.987307,2.211959,352.599274,1,2,3,4
12.4591579,0.0024499,0.379861,-0.092722,9.88176,9.889493,2.265981,346.282654,1,2,3,4
12.4616089,0.002451,0.370289,-0.018544,9.845867,9.852845,2.156493,357.132965,1,2,3,4
12.4640589,0.00245,0.406182,-0.064008,9.843474,9.852059,2.392038,351.044708,1,2,3,4
12.4665098,0.0024509,0.324826,-0.0999,9.88176,9.887602,1.969707,342.904694,1,2,3,4
