Time (s),dt, X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg),1,2,3,ag
11.8432226,0.00244,0.198006,9.859028,-0.122632,9.861778,90.712494,88.849442,1,2,3,0
11.8456621,0.00244,0.176471,9.859028,-0.081954,9.860948,90.476189,88.974548,1,2,3,0
11.8481016,0.00244,0.154935,9.902099,-0.091525,9.903733,90.52951,89.103584,1,2,3,0
11.8505411,0.00244,0.135793,9.870992,-0.120239,9.872658,90.697823,89.211845,1,2,3,0
11.8529797,0.00244,0.140578,9.854242,-0.132203,9.856132,90.768547,89.182686,1,2,3,0
11.8554192,0.00244,0.123829,9.815957,-0.132203,9.817628,90.771561,89.277252,1,2,3,0
11.8578596,0.00244,0.123829,9.84467,-0.211167,9.847713,91.228699,89.279358,1,2,3,0
11.8602982,0.00244,0.162114,9.823135,-0.203988,9.826591,91.189476,89.05452,1,2,3,0
11.8627377,0.00244,0.121436,9.835099,-0.244666,9.838892,91.424934,89.292595,1,2,3,0
11.8651772,0.00244,0.15015,9.847063,-0.251845,9.851427,91.464882,89.126411,1,2,3,0
11.8676157,0.00244,0.157328,9.820743,-0.251845,9.825231,91.468788,89.082199,1,2,3,0
11.8700562,0.00244,0.166899,9.851849,-0.261416,9.85673,91.519753,89.029449,1,2,3,0
11.8724957,0.00244,0.188435,9.827921,-0.27338,9.833528,91.593071,88.901581,1,2,3,0
11.8749342,0.00244,0.188435,9.803992,-0.19681,9.807777,91.149811,88.898895,1,2,3,0
11.8773737,0.00244,0.181256,9.792028,-0.199202,9.795732,91.16523,88.939545,1,2,3,0
11.8798132,0.00244,0.183649,9.825528,-0.16331,9.828601,90.952057,88.929207,1,2,3,0
11.8822527,0.00244,0.205185,9.796814,-0.117847,9.799671,90.689034,88.800171,1,2,3,0
11.8846922,0.00244,0.195613,9.859028,-0.101097,9.861486,90.587387,88.863342,1,2,3,0
11.8871317,0.00244,0.217149,9.851849,-0.136989,9.855194,90.796448,88.737328,1,2,3,0
11.8895702,0.00244,0.200399,9.84467,-0.108275,9.847305,90.630005,88.833847,1,2,3,0
11.8920107,0.00244,0.157328,9.823135,-0.125025,9.825191,90.729103,89.082428,1,2,3,0
11.8944502,0.00244,0.186042,9.796814,-0.050847,9.798713,90.297318,88.912079,1,2,3,0
11.8968887,0.00244,0.145364,9.794421,-0.05324,9.795645,90.311409,89.149704,1,2,3,0
11.8993282,0.00244,0.186042,9.803992,-0.113061,9.806409,90.660591,88.91288,1,2,3,0
11.9017677,0.00244,0.202792,9.796814,-0.084347,9.799275,90.493179,88.814163,1,2,3,0
11.9042072,0.00244,0.171685,9.8016,-0.062812,9.803304,90.367104,88.996506,1,2,3,0
11.9066467,0.00244,0.181256,9.823135,-0.117847,9.825514,90.687218,88.942902,1,2,3,0
11.9090862,0.00244,0.176471,9.799207,-0.041276,9.800882,90.241302,88.968292,1,2,3,0
11.9115248,0.00244,0.190828,9.820743,0.02333,9.822624,89.863914,88.886818,1,2,3,0
11.9139643,0.00244,0.145364,9.799207,-0.007777,9.800288,90.045464,89.150124,1,2,3,0
11.9164047,0.00244,0.169292,9.823135,-0.105882,9.825165,90.61747,89.012657,1,2,3,0
11.9188433,0.00244,0.207577,9.81835,-0.074776,9.820828,90.436256,88.788849,1,2,3,0
11.9212828,0.00244,0.217149,9.78485,-0.048455,9.787379,90.283653,88.728683,1,2,3,0
11.9237223,0.00244,0.200399,9.792028,-0.055633,9.794237,90.325455,88.827576,1,2,3,0
11.9261608,0.00244,0.207577,9.815957,-0.115454,9.81883,90.673721,88.788551,1,2,3,0
11.9286013,0.00244,0.22672,9.81835,-0.113061,9.821618,90.659569,88.677193,1,2,3,0
11.9310408,0.00244,0.217149,9.811171,-0.139382,9.814564,90.813713,88.732094,1,2,3,0
11.9334793,0.00244,0.236291,9.820743,-0.115454,9.824263,90.673347,88.621704,1,2,3,0
11.9359188,0.00244,0.229113,9.782457,-0.139382,9.786133,90.816078,88.658333,1,2,3,0
11.9383583,0.00244,0.183649,9.799207,-0.127418,9.801756,90.744835,88.926331,1,2,3,0
11.9407978,0.00244,0.147757,9.813564,-0.16331,9.816035,90.953278,89.137398,1,2,3,0
11.9432373,0.00244,0.154935,9.792028,-0.215952,9.795635,91.263229,89.093506,1,2,3,0
11.9456768,0.00244,0.171685,9.770494,-0.148953,9.773136,90.873283,88.993317,1,2,3,0
11.9481153,0.00244,0.186042,9.789636,-0.187238,9.793194,91.09552,88.911285,1,2,3,0
11.9505558,0.00244,0.154935,9.792028,-0.218345,9.795688,91.277222,89.093506,1,2,3,0
11.9529953,0.00244,0.171685,9.811171,-0.192024,9.814551,91.121078,88.99749,1,2,3,0
11.9554338,0.00244,0.176471,9.820743,-0.132203,9.823217,90.771126,88.970551,1,2,3,0
11.9578733,0.00244,0.169292,9.787243,-0.213559,9.791037,91.249817,89.009041,1,2,3,0
11.9603128,0.00244,0.131007,9.839885,-0.220738,9.843233,91.284988,89.237213,1,2,3,0
11.9627523,0.00244,0.166899,9.827921,-0.189631,9.831167,91.105232,89.027084,1,2,3,0
11.9651918,0.00244,0.152542,9.832706,-0.192024,9.835764,91.11866,89.111198,1,2,3,0
11.9676313,0.00244,0.0999,9.81835,-0.223131,9.821393,91.301804,89.417046,1,2,3,0
11.9700699,0.00244,0.104686,9.839885,-0.192024,9.842315,91.117912,89.390457,1,2,3,0
11.9725094,0.00244,0.131007,9.808778,-0.199202,9.811675,91.16333,89.234795,1,2,3,0
11.9749498,0.00244,0.119043,9.827921,-0.215952,9.831014,91.258682,89.306023,1,2,3,0
11.9773884,0.00244,0.121436,9.863813,-0.220738,9.86703,91.281883,89.294655,1,2,3,0
11.9798279,0.00244,0.119043,9.820743,-0.184846,9.823203,91.078209,89.305519,1,2,3,0
11.9822674,0.00244,0.1334,9.842278,-0.18006,9.844829,91.047989,89.223473,1,2,3,0
11.9847069,0.00244,0.1334,9.859028,-0.177667,9.86153,91.03231,89.224792,1,2,3,0
11.9871464,0.00244,0.111864,9.849456,-0.14656,9.851181,90.852448,89.349297,1,2,3,0
11.9895859,0.00244,0.104686,9.859028,-0.141775,9.860603,90.823822,89.39164,1,2,3,0
11.9920244,0.00244,0.1334,9.839885,-0.134596,9.841709,90.783607,89.223282,1,2,3,0
11.9944639,0.00244,0.131007,9.854242,-0.093918,9.855561,90.546005,89.238327,1,2,3,0
11.9969044,0.00244,0.126221,9.84467,-0.139382,9.846466,90.811081,89.265434,1,2,3,0
11.9993429,0.00244,0.107079,9.832706,-0.091525,9.833715,90.533279,89.376068,1,2,3,0
12.0017824,0.00244,0.135793,9.827921,-0.074776,9.829144,90.435883,89.208389,1,2,3,0
12.0042219,0.00244,0.147757,9.830314,-0.098704,9.83192,90.575211,89.13887,1,2,3,0
12.0066605,0.00244,0.119043,9.861421,-0.10349,9.862682,90.601219,89.30838,1,2,3,0
12.0091009,0.00244,0.131007,9.820743,-0.062812,9.821817,90.366417,89.235733,1,2,3,0
12.0115404,0.00244,0.154935,9.830314,-0.062812,9.831736,90.366043,89.097038,1,2,3,0
12.013979,0.00244,0.152542,9.839885,-0.117847,9.841773,90.686081,89.111847,1,2,3,0
12.0164185,0.00244,0.119043,9.875777,-0.089133,9.876897,90.517067,89.309387,1,2,3,0
12.018858,0.00244,0.202792,9.859028,-0.058026,9.861284,90.337143,88.82164,1,2,3,0
12.0212975,0.00244,0.097508,9.825528,-0.122632,9.826777,90.715034,89.431419,1,2,3,0
12.023737,0.00244,0.157328,9.880563,-0.048455,9.881934,90.280945,89.087753,1,2,3,0
12.0261765,0.00244,0.135793,9.873384,-0.036491,9.874386,90.211739,89.212036,1,2,3,0
12.028615,0.00244,0.174078,9.899706,-0.110668,9.901855,90.640381,88.992607,1,2,3,0
12.0310555,0.00244,0.114257,9.861421,-0.117847,9.862786,90.684624,89.336182,1,2,3,0
12.0334949,0.00244,0.154935,9.890134,-0.113061,9.891994,90.654877,89.102501,1,2,3,0
